client_id	round	local_train_ms	encode_gradient_ms	prove_ms	proof_size_bytes	sign_ms	signature_size_bytes
45	2	6.882	0.040	15.260	45	0.215	3309
46	2	7.212	0.043	15.864	45	0.431	3309
47	2	6.985	0.034	15.261	45	0.854	3309
48	2	5.710	0.036	15.911	45	0.207	3309
49	2	5.700	0.037	14.626	45	0.389	3309
50	2	6.944	0.040	14.456	45	0.308	3309
51	2	5.564	0.037	14.061	45	0.303	3309
52	2	5.781	0.132	13.702	45	0.177	3309
53	2	7.677	0.042	12.705	45	0.265	3309
54	2	5.463	0.025	12.810	45	0.851	3309
55	2	5.972	0.043	12.608	45	0.247	3309
56	2	5.310	0.039	13.614	45	0.234	3309
57	2	6.777	0.038	12.832	45	0.277	3309
58	2	5.451	0.036	13.831	45	0.234	3309
59	2	6.520	0.038	14.313	45	0.495	3309
60	2	9.844	0.047	16.149	45	0.340	3309
61	2	10.606	0.061	16.030	45	0.328	3309
62	2	11.067	0.063	15.499	45	0.336	3309
63	2	8.408	0.060	15.501	45	0.337	3309
64	2	8.362	0.045	15.627	45	0.264	3309
65	2	8.493	0.063	17.274	45	0.413	3309
66	2	10.861	0.042	16.067	45	0.554	3309
67	2	10.619	0.073	16.312	45	0.539	3309
68	2	9.352	0.726	15.678	45	0.198	3309
69	2	9.399	0.039	15.985	45	0.412	3309
70	2	8.984	0.055	16.532	45	0.306	3309
71	2	8.017	0.030	16.604	45	0.378	3309
72	2	9.926	0.059	17.336	45	0.262	3309
73	2	10.889	0.054	17.011	45	0.365	3309
74	2	7.594	0.042	15.364	45	0.264	3309
75	2	8.945	0.037	15.184	45	0.233	3309
76	2	8.654	0.070	15.776	45	0.377	3309
77	2	8.584	0.060	16.646	45	0.264	3309
78	2	8.048	0.058	13.088	45	0.195	3309
79	2	5.483	0.046	12.384	45	0.191	3309
80	2	5.719	0.034	12.256	45	0.519	3309
81	2	5.375	0.024	12.913	45	0.267	3309
82	2	9.549	0.069	13.119	45	0.152	3309
83	2	5.845	0.034	13.005	45	0.259	3309
84	2	7.214	0.057	14.628	45	0.327	3309
85	2	5.776	0.043	12.616	45	0.340	3309
86	2	5.446	0.030	12.811	45	0.479	3309
87	2	4.880	0.167	12.637	45	0.311	3309
88	2	5.786	0.036	13.918	45	0.312	3309
89	2	6.583	0.035	13.411	45	0.180	3309
90	2	7.235	0.399	14.301	45	0.392	3309
91	2	7.056	0.040	13.197	45	0.420	3309
92	2	6.676	0.047	12.179	45	0.173	3309
93	2	5.782	0.034	13.191	45	0.228	3309
94	2	4.651	0.023	14.970	45	0.324	3309
95	2	8.449	0.061	19.979	45	0.654	3309
96	2	8.531	0.048	15.838	45	0.211	3309
97	2	8.317	0.050	16.302	45	0.463	3309
98	2	7.223	0.053	16.206	45	0.288	3309
99	2	8.010	0.044	15.922	45	0.154	3309
0	3	7.723	0.057	11.396	43	0.293	3309
1	3	6.688	0.041	12.780	43	0.259	3309
2	3	5.972	0.072	13.161	43	0.220	3309
3	3	7.110	0.034	15.736	43	0.324	3309
4	3	6.370	0.024	12.343	43	0.158	3309
5	3	7.400	0.049	15.325	43	0.291	3309
6	3	8.812	0.048	14.213	43	0.207	3309
7	3	6.734	0.036	19.544	43	0.309	3309
8	3	6.277	0.034	13.476	43	0.374	3309
9	3	10.223	0.058	16.882	43	0.352	3309
10	3	9.533	0.058	17.058	45	0.382	3309
11	3	8.793	0.028	16.063	45	0.248	3309
12	3	9.086	0.059	15.810	45	0.317	3309
13	3	9.620	0.028	15.060	45	0.282	3309
14	3	8.283	0.041	16.782	45	0.341	3309
15	3	7.601	0.196	16.415	45	0.247	3309
16	3	7.930	0.044	15.090	45	0.489	3309
17	3	11.049	0.042	15.616	45	0.302	3309
18	3	9.958	0.840	17.509	45	0.296	3309
19	3	8.995	0.064	19.178	45	0.323	3309
20	3	11.901	0.062	16.906	45	0.236	3309
21	3	7.260	0.039	17.493	45	0.263	3309
22	3	7.311	0.045	16.080	45	0.692	3309
23	3	7.492	0.038	12.184	45	0.322	3309
24	3	6.290	0.048	12.302	45	0.276	3309
25	3	5.366	0.042	13.356	45	0.436	3309
26	3	6.361	0.037	14.869	45	0.579	3309
27	3	5.926	0.024	13.428	45	0.162	3309
28	3	7.840	0.065	12.609	45	0.268	3309
29	3	6.523	0.031	12.959	45	0.312	3309
30	3	5.310	0.035	13.314	45	0.222	3309
31	3	7.296	0.038	14.781	45	0.221	3309
32	3	7.763	0.057	12.727	45	0.258	3309
33	3	5.402	0.037	16.031	45	0.545	3309
34	3	5.778	0.035	16.115	45	0.358	3309
35	3	6.033	0.026	17.685	45	0.291	3309
36	3	5.824	0.036	15.594	45	0.280	3309
37	3	6.244	0.046	16.899	45	0.319	3309
38	3	7.010	0.044	19.335	45	0.559	3309
39	3	8.019	0.045	16.616	45	0.318	3309
40	3	7.652	0.072	16.033	45	0.437	3309
41	3	8.382	0.058	14.383	45	0.280	3309
42	3	5.937	0.040	13.159	45	0.346	3309
43	3	5.899	0.046	13.753	45	0.523	3309
44	3	8.440	0.053	18.991	45	0.248	3309
45	3	9.407	0.046	15.067	45	0.527	3309
46	3	6.918	0.051	16.313	45	0.355	3309
47	3	7.947	0.061	16.668	45	0.338	3309
48	3	7.741	0.981	17.699	45	0.280	3309
49	3	9.142	0.094	15.684	45	0.486	3309
50	3	7.546	0.047	15.272	45	0.238	3309
51	3	5.315	0.037	12.851	45	0.214	3309
52	3	6.134	0.037	13.371	45	0.215	3309
53	3	5.220	0.041	12.648	45	0.294	3309
54	3	8.800	0.036	13.792	45	0.365	3309
55	3	6.913	0.061	14.378	45	0.235	3309
56	3	6.922	0.040	13.724	45	0.281	3309
57	3	8.286	0.041	13.490	45	0.529	3309
58	3	6.919	0.037	12.932	45	0.238	3309
59	3	6.897	0.041	13.109	45	0.149	3309
60	3	7.716	0.058	13.617	45	0.258	3309
61	3	6.596	0.037	15.413	45	0.269	3309
62	3	7.851	0.038	15.282	45	0.404	3309
63	3	6.009	0.044	12.970	45	0.465	3309
64	3	7.071	0.037	12.749	45	0.304	3309
65	3	5.797	0.035	12.709	45	0.244	3309
66	3	5.846	0.038	16.779	45	0.406	3309
67	3	8.652	0.062	16.597	45	0.345	3309
68	3	9.425	0.047	16.083	45	0.391	3309
69	3	9.382	0.047	18.901	45	0.428	3309
70	3	7.288	0.058	18.991	45	0.219	3309
71	3	9.416	0.042	19.026	45	0.345	3309
72	3	12.245	0.062	17.553	45	0.397	3309
73	3	9.979	0.060	18.953	45	0.504	3309
74	3	8.925	0.043	18.813	45	0.252	3309
75	3	10.900	0.036	20.590	45	0.606	3309
76	3	9.570	0.045	18.744	45	0.337	3309
77	3	11.534	0.034	18.559	45	0.244	3309
78	3	9.223	0.074	21.586	45	0.320	3309
79	3	10.896	0.110	19.617	45	0.466	3309
80	3	8.965	0.063	19.204	45	0.641	3309
81	3	8.277	0.049	19.321	45	0.188	3309
82	3	7.791	0.047	20.268	45	0.264	3309
83	3	6.730	0.041	15.432	45	0.227	3309
84	3	6.984	0.062	16.942	45	0.250	3309
85	3	6.053	0.039	16.235	45	0.362	3309
86	3	5.977	0.025	15.471	45	0.921	3309
87	3	6.279	0.053	15.786	45	0.184	3309
88	3	5.238	0.037	14.986	45	0.288	3309
89	3	5.450	0.036	15.867	45	0.255	3309
90	3	6.494	0.052	16.342	45	0.341	3309
91	3	5.417	0.037	16.439	45	0.494	3309
92	3	5.446	0.065	15.509	45	0.960	3309
93	3	6.520	0.037	15.303	45	0.231	3309
94	3	5.827	0.025	14.880	45	0.241	3309
95	3	5.318	0.044	15.384	45	0.398	3309
96	3	7.932	0.049	15.326	45	0.278	3309
97	3	5.561	0.035	15.233	45	0.205	3309
98	3	7.724	0.046	17.130	45	0.320	3309
99	3	15.640	0.062	17.208	45	0.220	3309
0	4	6.313	0.034	14.303	43	0.175	3309
1	4	5.271	0.036	14.895	43	0.230	3309
2	4	8.781	0.052	16.222	43	0.365	3309
3	4	8.843	0.038	14.777	43	0.239	3309
4	4	8.068	0.026	15.100	43	0.172	3309
5	4	5.151	0.035	15.019	43	0.194	3309
6	4	6.937	0.046	14.322	43	0.380	3309
7	4	10.033	0.073	17.198	43	0.339	3309
8	4	9.654	0.047	16.722	43	0.474	3309
9	4	10.805	0.065	15.157	43	0.591	3309
10	4	6.502	0.066	17.249	45	0.302	3309
11	4	9.719	0.039	16.474	45	0.271	3309
12	4	8.819	0.057	17.127	45	0.236	3309
13	4	10.940	0.041	16.451	45	0.865	3309
14	4	10.619	0.089	15.998	45	0.427	3309
15	4	7.852	0.060	14.499	45	0.240	3309
16	4	8.209	0.081	14.704	45	0.264	3309
