client_id	round	verify_signature_ms	verify_proof_ms
36	3	0.228	0.001
37	3	0.216	0.001
38	3	0.235	0.006
39	3	0.239	0.001
40	3	0.279	0.002
41	3	0.286	0.001
42	3	0.306	0.002
43	3	0.246	0.001
44	3	0.238	0.001
45	3	0.214	0.001
46	3	0.265	0.001
47	3	0.233	0.001
48	3	0.266	0.001
49	3	0.228	0.001
50	3	0.205	0.001
51	3	0.173	0.001
52	3	0.279	0.002
53	3	0.277	0.002
54	3	0.253	0.001
55	3	0.216	0.001
56	3	0.299	0.002
57	3	0.224	0.001
58	3	0.270	0.001
59	3	0.274	0.002
60	3	0.229	0.001
61	3	0.224	0.001
62	3	0.213	0.001
63	3	0.255	0.002
64	3	0.317	0.010
65	3	0.274	0.001
66	3	0.254	0.001
67	3	0.206	0.001
68	3	0.354	0.002
69	3	0.278	0.002
70	3	0.234	0.001
71	3	0.279	0.001
72	3	0.310	0.002
73	3	0.251	0.001
74	3	0.228	0.001
75	3	0.242	0.001
76	3	0.303	0.002
77	3	0.179	0.001
78	3	0.190	0.001
79	3	0.214	0.001
80	3	0.157	0.001
81	3	0.195	0.001
82	3	0.263	0.002
83	3	0.155	0.001
84	3	0.181	0.001
85	3	0.193	0.001
86	3	0.196	0.001
87	3	0.251	0.001
88	3	0.244	0.002
89	3	0.154	0.001
90	3	0.215	0.001
91	3	0.162	0.001
92	3	0.169	0.001
93	3	0.232	0.002
94	3	0.220	0.001
95	3	0.231	0.001
96	3	0.168	0.001
97	3	0.213	0.001
98	3	0.194	0.001
99	3	0.271	0.001
0	4	0.255	0.001
1	4	0.218	0.007
2	4	0.261	0.001
3	4	0.160	0.001
4	4	0.234	0.001
5	4	0.262	0.002
6	4	0.200	0.001
7	4	0.241	0.001
8	4	0.196	0.001
9	4	0.290	0.001
10	4	0.207	0.001
11	4	0.262	0.002
12	4	0.239	0.002
13	4	0.186	0.001
14	4	0.254	0.001
15	4	0.155	0.001
16	4	0.157	0.001
17	4	0.174	0.001
18	4	0.184	0.001
19	4	0.168	0.001
20	4	0.201	0.002
21	4	0.161	0.001
22	4	0.160	0.001
23	4	0.204	0.001
24	4	0.245	0.001
25	4	0.154	0.001
26	4	0.193	0.001
27	4	0.215	0.001
28	4	0.224	0.001
29	4	0.250	0.002
30	4	0.179	0.001
31	4	0.302	0.002
32	4	0.160	0.001
33	4	0.171	0.001
34	4	0.180	0.001
35	4	0.224	0.001
36	4	0.288	0.001
37	4	0.208	0.001
38	4	0.357	0.002
39	4	0.214	0.001
40	4	0.245	0.001
41	4	0.273	0.002
42	4	0.226	0.001
43	4	0.261	0.001
44	4	0.171	0.001
45	4	0.281	0.002
46	4	0.204	0.001
47	4	0.304	0.002
48	4	0.231	0.002
49	4	0.271	0.002
50	4	0.259	0.010
51	4	0.251	0.003
52	4	0.233	0.001
53	4	0.225	0.001
54	4	0.187	0.001
55	4	0.232	0.002
56	4	0.204	0.001
57	4	0.274	0.001
58	4	0.187	0.001
59	4	0.322	0.003
60	4	0.234	0.002
61	4	0.231	0.001
62	4	0.281	0.002
63	4	0.224	0.001
64	4	0.165	0.001
65	4	0.259	0.001
66	4	0.226	0.001
67	4	0.315	0.001
68	4	0.188	0.001
69	4	0.281	0.001
70	4	0.285	0.002
71	4	0.250	0.002
72	4	0.223	0.001
73	4	0.239	0.002
74	4	0.223	0.001
75	4	0.332	0.002
76	4	0.232	0.001
77	4	0.228	0.001
78	4	0.237	0.001
79	4	0.225	0.001
80	4	0.253	0.002
81	4	0.276	0.001
82	4	0.232	0.001
83	4	0.236	0.002
84	4	0.235	0.002
85	4	0.212	0.001
86	4	0.289	0.001
87	4	0.250	0.001
88	4	0.214	0.002
89	4	0.227	0.003
90	4	0.249	0.002
91	4	0.235	0.001
92	4	0.286	0.002
93	4	0.287	0.001
94	4	0.165	0.001
95	4	0.159	0.001
96	4	0.212	0.001
97	4	0.175	0.001
98	4	0.154	0.001
99	4	0.176	0.001
